"Year","TotalPopulation","GrowthRate","Density","TotalPopulationRank","DensityRank"
"2022","112508.9940","0.0136","377.3317","13","34"
"2021","111046.9130","0.0139","372.4282","13","34"
"2020","109581.0780","0.0135","367.5121","13","35"
"2019","108116.6150","0.0137","362.6006","13","35"
"2018","106651.3940","0.0141","357.6865","13","35"
"2017","105172.9250","0.0146","352.7281","13","37"
"2015","102113.2120","0.0168","342.4664","12","39"
"2010","93966.7800","0.0171","315.1450","12","40"
"2005","86326.2500","0.0205","289.5202","12","45"
"2000","77991.7550","0.0225","261.5681","14","46"
"1995","69784.0880","0.0243","234.0413","14","51"
"1990","61895.1600","0.0266","207.5835","14","53"
"1985","54275.8220","0.0276","182.0298","17","54"
"1980","47357.7430","0.0278","158.8280","19","56"
"1975","41285.7420","0.0289","138.4638","19","56"
"1970","35803.5940","0.0298","120.0778","19","58"
"1965","30909.9880","0.0331","103.6656","22","63"
"1960","26269.7340","0.0345","88.1032","23","66"
"1955","22177.0580","0.0360","74.3772","23","75"
